,Name,Status,Location,Price,Stars,Ratings,Link
77," X1 Carbon 2  i7 2,10Ghz 8GB 240GB  14   2560 x 1440",Pre-Owned,From Germany,12609.39,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-2-Core-i7-2-10Ghz-8GB-240GB-SSD-14zoll-WEB-CAM-2560-x-1440/202666517304?hash=item2f2fdda338:g:9hYAAOSwi5dcx0~K
274, x1 carbon,Pre-Owned,From Italy,12609.39,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon/184180664088?hash=item2ae205e718:g:zOkAAOSw~tJeUDDL
335,Top offer   X1 Carbon  i5 8GB 240GB   4K 2560x1440x,Refurbished,From Germany,12584.17,0,0,https://www.ebay.com/itm/TOP-Angebot-Lenovo-ThinkPad-X1-Carbon-Core-i5-8GB-240GB-SSD-LCD-4K-2560x1440x/323877109375?hash=item4b68947e7f:g:C1gAAOSwIsddSEOx
162,  x1 Carbon i7 4550u 8 GB RAM 256   2560x1440 IPS ,Pre-Owned,From Germany,12584.17,0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-i7-4550u-8-GB-Ram-256-SSD-Webcam-2560x1440-IPS-LCD/143031506269?epid=0&hash=item214d57955d:g:NAoAAOSwm5xb~tQf
409, X1 Carbon Gen 3 i7 2.4GHZ/8GB Ram/512GB // Warranty ,Refurbished,From United States,12418.47,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-8GB-Ram-512GB-SSD-Windows-10-Pro-Warranty/283683803181?hash=item420cdf502d:g:2ucAAOSwTUBd1sFe
509, X1 Carbon Gen 3 i7 2.4GHZ/8GB Ram/512GB // Warranty ,Refurbished,From United States,12418.47,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-8GB-Ram-512GB-SSD-Windows-10-Pro-Warranty/283683803181?hash=item420cdf502d:g:2ucAAOSwTUBd1sFe
1073,  X1 Carbon Touch     i5 8GB 256GB ,Pre-Owned,From Canada,12212.75,0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-Touch-Laptop-Notebook-Ultrabook-Intel-i5-8GB-256GB-SSD/362918368205?hash=item547f9ed3cd:g:ciIAAOSw3F5eSwzV
1243,  X1 Carbon Touch     i5 8GB 256GB ,Pre-Owned,From Canada,12212.75,0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-Touch-Laptop-Notebook-Ultrabook-Intel-i5-8GB-256GB-SSD/362918368205?hash=item547f9ed3cd:g:ciIAAOSw3F5eSwzV
83, Yoga 15 Convertible  i5 8GB 256GB 1920x1080 Touchscr. LTE De. ,Pre-Owned,From Germany,12079.79,Tim,0,https://www.ebay.com/itm/Lenovo-YOGA-15-Convertible-Core-i5-8GB-256GB-1920x1080-Touchscr-LTE-DE-Backlit/164095297969?hash=item2634d789b1:g:FrYAAOSwvcheUbml
312, X1 Carbon Gen 3 i7 2.4GHZ/4GB Ram/512GB // Warranty ,Refurbished,From United States,11861.38,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-4GB-Ram-512GB-SSD-Windows-10-Pro-Warranty/283683777546?hash=item420cdeec0a:g:2ucAAOSwTUBd1sFe
606, X1 Carbon Gen 3 i7 2.4GHZ/8GB Ram/256GB // Warranty ,Refurbished,From United States,11606.04,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-8GB-Ram-256GB-SSD-Windows-10-Pro-Warranty/283683804367?hash=item420cdf54cf:g:2ucAAOSwTUBd1sFe
178, X1 Carbon Gen 3 i7 2.4GHZ/8GB Ram/1TB HDD// Warranty ,Refurbished,From United States,11606.04,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-8GB-Ram-1TB-HDD-Windows-10-Pro-Warranty/283683784762?hash=item420cdf083a:g:2ucAAOSwTUBd1sFe
1246,LENOVO THINKPAD X1 CARBON 3RD GEN 1.6GHz 8GB 128GB 5yr Warranty ,Pre-Owned,From United States,11606.04,0,0,https://www.ebay.com/itm/LENOVO-THINKPAD-X1-CARBON-3RD-GEN-1-6GHz-8GB-128GB-5yr-Warranty-Fingerprint/264445961254?_trkparms=ispr%3D1&hash=item3d92352426:g:dvoAAOSwSkhdZt7J&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qX2P%2FVc2DPnTbVKoIZ8X2aUvx%2BmBX7%2BgOygN1FYyVrKe5r98CnX04NphCWp1sxQB1maYrgVLj7ZiyVUexKBbA%2BJoKKxiM63zPeC3QLj66sscUsiuHfR%2FAFyZk5AIpTQ66v4BJ9odoYwEQTnXRjlQpU%2BXZRQryxP5XhsOmyBTm%2FziPFqGFD%2BaKIdz50J%2B3jGLuEjD0ltHaTiZ3DXK7pKlHdgCqa63vGMuXfYLNJjmVqxOzUGkkgHj%2FIDYka7c2hPmd5auFPguK2g3exv4AkUV7ijzqio0A3h6jlQvDkgmkN0b7FNJ1oXsyZioP52btrpBDe%2FbCsJPeb30PG05oi%2BX48pqdpcteeXY4UkDMcfi6MG%2FS%2FTB5pAPH122hgeixOD7oo4OC6MPcBhTinZ%2FDORSsiNZLb0WmpMKAtoUAzb6kQbyujy0n%2BsidpogvuOze8GUlfHhkTBB8vFurQF%2F%2F7WTR3uQuE4vYR0cqstwoDAUIfnOhPI5yMKjtekknG7tu1Z9YnP6dyf48evcJZliLMDkkk%2Fq51DPjuoW%2BFdLZJjJrpt92yd3D1PsST1UoOUHkAYxbSgbxWwbrFjuIVDdeo73kR0FCKDA%2FDh3TqEnzwh4ffrgSKznEdgKrAt2Tt4%2FtfZ6N1DQZ5Zw1Uz%2BHLZb3%2FRpMjApEyDONa%2Fc4fUx6Ysh6lW7UW9XNI26cq5L5yAQs9RxWZY56EAfHKmBo7WaTdpyiOWy1xVmIb3K4KQ1GiQh4JSmA%3D%3D&checksum=264445961254f873be751735421d9d3eff5c66e80d14
